['Province/State', '12/9/20', '12/10/20', '12/11/20', '12/12/20', '12/13/20', '12/14/20', '12/15/20', '12/16/20', '12/17/20', '12/18/20', '12/19/20', '12/20/20', '12/21/20', '12/22/20', '12/23/20', '12/24/20', '12/25/20', '12/26/20', '12/27/20', '12/28/20', '12/29/20', '12/30/20', '12/31/20', '1/1/21', '1/2/21', '1/3/21', '1/4/21', '1/5/21', '1/6/21', '1/7/21', '1/8/21', '1/9/21', '1/10/21', '1/11/21', '1/12/21', '1/13/21', '1/14/21', '1/15/21', '1/16/21', '1/17/21', '1/18/21', '1/19/21', '1/20/21', '1/21/21', '1/22/21', '1/23/21', '1/24/21', '1/25/21', '1/26/21', '1/27/21', '1/28/21', '1/29/21', '1/30/21', '1/31/21', '2/1/21', '2/2/21', '2/3/21', '2/4/21', '2/5/21', '2/6/21', '2/7/21', '2/8/21', '2/9/21', '2/10/21', '2/11/21', '2/12/21', '2/13/21', '2/14/21', '2/15/21', '2/16/21', '2/17/21', '2/18/21', '2/19/21', '2/20/21', '2/21/21', '2/22/21', '2/23/21', '2/24/21', '2/25/21', '2/26/21', '2/27/21', '2/28/21', '3/1/21', '3/2/21', '3/3/21', '3/4/21', '3/5/21', '3/6/21', '3/7/21', '3/8/21', '3/9/21', '3/10/21', '3/11/21', '3/12/21', '3/13/21', '3/14/21', '3/15/21', '3/16/21', '3/17/21', '3/18/21', '3/19/21', '3/20/21', '3/21/21', '3/22/21', '3/23/21', '3/24/21', '3/25/21', '3/26/21', '3/27/21', '3/28/21', '3/29/21', '3/30/21', '3/31/21', '4/1/21', '4/2/21', '4/3/21', '4/4/21', '4/5/21', '4/6/21', '4/7/21', '4/8/21', '4/9/21', '4/10/21', '4/11/21', '4/12/21', '4/13/21', '4/14/21', '4/15/21', '4/16/21', '4/17/21', '4/18/21', '4/19/21', '4/20/21', '4/21/21', '4/22/21', '4/23/21', '4/24/21', '4/25/21', '4/26/21', '4/27/21', '4/28/21', '4/29/21', '4/30/21', '5/1/21', '5/2/21', '5/3/21', '5/4/21', '5/5/21', '5/6/21', '5/7/21', '5/8/21', '5/9/21', '5/10/21', '5/11/21', '5/12/21', '5/13/21', '5/14/21', '5/15/21', '5/16/21', '5/17/21', '5/18/21', '5/19/21', '5/20/21', '5/21/21', '5/22/21', '5/23/21', '5/24/21', '5/25/21', '5/26/21', '5/27/21', '5/28/21', '5/29/21', '5/30/21', '5/31/21', '6/1/21', '6/2/21', '6/3/21', '6/4/21', '6/5/21', '6/6/21', '6/7/21', '6/8/21', '6/9/21', '6/10/21', '6/11/21', '6/12/21', '6/13/21', '6/14/21', '6/15/21', '6/16/21']
['Afghanistan', '47851', '48053', '48116', '48229', '48527', '48718', '48952', '49161', '49378', '49621', '49681', '49817', '50013', '50190', '50433', '50655', '50810', '50886', '51039', '51280', '51350', '51405', '51526', '51526', '51526', '51526', '53011', '53105', '53105', '53207', '53332', '53400', '53489', '53538', '53584', '53584', '53775', '53831', '53938', '53984', '54062', '54141', '54278', '54403', '54483', '54559', '54595', '54672', '54750', '54854', '54891', '54939', '55008', '55023', '55059', '55121', '55174', '55231', '55265', '55330', '55335', '55359', '55384', '55402', '55420', '55445', '55473', '55492', '55514', '55518', '55540', '55557', '55575', '55580', '55604', '55617', '55646', '55664', '55680', '55696', '55707', '55714', '55733', '55759', '55770', '55775', '55827', '55840', '55847', '55876', '55876', '55894', '55917', '55959', '55959', '55985', '55985', '55995', '56016', '56044', '56069', '56093', '56103', '56153', '56177', '56192', '56226', '56254', '56290', '56294', '56322', '56384', '56454', '56517', '56572', '56595', '56676', '56717', '56779', '56873', '56943', '57019', '57144', '57160', '57242', '57364', '57492', '57534', '57612', '57721', '57793', '57898', '58037', '58214', '58312', '58542', '58730', '58843', '59015', '59225', '59370', '59576', '59745', '59939', '60122', '60300', '60563', '60797', '61162', '61455', '61755', '61842', '62063', '62403', '62718', '63045', '63355', '63412', '63484', '63598', '63819', '64122', '64575', '65080', '65486', '65728', '66275', '66903', '67743', '68366', '69130', '70111', '70761', '71838', '72977', '74026', '75119', '76628', '77963', '79224', '80841', '82326', '84050', '85892', '87716', '88740', '89861', '91458', '93272', '93288']
['Albania', '45188', '46061', '46863', '47742', '48530', '49191', '50000', '50637', '51424', '52004', '52542', '53003', '53425', '53814', '54317', '54827', '55380', '55755', '56254', '56572', '57146', '57727', '58316', '58316', '58991', '59438', '59623', '60283', '61008', '61705', '62378', '63033', '63595', '63971', '64627', '65334', '65994', '66635', '67216', '67690', '67982', '68568', '69238', '69916', '70655', '71441', '72274', '72812', '73691', '74567', '75454', '76350', '77251', '78127', '78992', '79934', '80941', '81993', '83082', '84212', '85336', '86289', '87528', '88671', '89776', '90835', '91987', '93075', '93850', '94651', '95726', '96838', '97909', '99062', '100246', '101285', '102306', '103327', '104313', '105229', '106215', '107167', '107931', '108823', '109674', '110521', '111301', '112078', '112897', '113580', '114209', '114840', '115442', '116123', '116821', '117474', '118017', '118492', '118938', '119528', '120022', '120541', '121200', '121544', '121847', '122295', '122767', '123216', '123641', '124134', '124419', '124723', '125157', '125506', '125842', '126183', '126531', '126795', '126936', '127192', '127509', '127795', '128155', '128393', '128518', '128752', '128959', '129128', '129307', '129456', '129594', '129694', '129842', '129980', '130114', '130270', '130409', '130537', '130606', '130736', '130859', '130977', '131085', '131185', '131238', '131276', '131327', '131419', '131510', '131577', '131666', '131723', '131753', '131803', '131845', '131890', '131939', '131978', '132015', '132032', '132071', '132095', '132118', '132153', '132176', '132209', '132215', '132229', '132244', '132264', '132285', '132297', '132309', '132315', '132337', '132351', '132360', '132372', '132374', '132379', '132384', '132397', '132415', '132426', '132437', '132449', '132459', '132461', '132469', '132476']
['Algeria', '90014', '90579', '91121', '91638', '92102', '92597', '93065', '93507', '93933', '94371', '94781', '95203', '95659', '96069', '96549', '97007', '97441', '97857', '98249', '98631', '98988', '99311', '99610', '99897', '100159', '100408', '100645', '100873', '101120', '101382', '101657', '101913', '102144', '102369', '102641', '102860', '103127', '103381', '103611', '103833', '104092', '104341', '104606', '104852', '105124', '105369', '105596', '105854', '106097', '106359', '106610', '106887', '107122', '107339', '107578', '107841', '108116', '108381', '108629', '108629', '109088', '109313', '109559', '109782', '110049', '110303', '110513', '110711', '110894', '111069', '111247', '111418', '111600', '111764', '111917', '112094', '112279', '112461', '112622', '112805', '112960', '113092', '113255', '113430', '113593', '113761', '113948', '114104', '114234', '114382', '114543', '114681', '114851', '115008', '115143', '115265', '115410', '115540', '115688', '115842', '115970', '116066', '116157', '116255', '116349', '116438', '116543', '116657', '116750', '116836', '116946', '117061', '117192', '117304', '117429', '117524', '117622', '117739', '117879', '118004', '118116', '118251', '118378', '118516', '118645', '118799', '118975', '119142', '119323', '119486', '119642', '119805', '119992', '120174', '120363', '120562', '120736', '120922', '121112', '121344', '121580', '121866', '122108', '122311', '122522', '122717', '122999', '123272', '123473', '123692', '123900', '124104', '124288', '124483', '124682', '124889', '125059', '125194', '125311', '125485', '125693', '125896', '126156', '126434', '126651', '126860', '127107', '127361', '127646', '127926', '128198', '128456', '128725', '128913', '129218', '129640', '129976', '130361', '130681', '130958', '131283', '131647', '132034', '132355', '132727', '133070', '133388', '133742', '134115', '134458']
['Andorra', '7162', '7190', '7236', '7288', '7338', '7382', '7382', '7446', '7466', '7519', '7560', '7577', '7602', '7633', '7669', '7699', '7756', '7806', '7821', '7875', '7919', '7983', '8049', '8117', '8166', '8192', '8249', '8308', '8348', '8348', '8489', '8586', '8586', '8586', '8682', '8818', '8868', '8946', '9038', '9083', '9083', '9194', '9308', '9379', '9416', '9499', '9549', '9596', '9638', '9716', '9779', '9837', '9885', '9937', '9972', '10017', '10070', '10137', '10172', '10206', '10251', '10275', '10312', '10352', '10391', '10427', '10463', '10503', '10538', '10555', '10583', '10610', '10645', '10672', '10699', '10712', '10739', '10775', '10799', '10822', '10849', '10866', '10889', '10908', '10948', '10976', '10998', '11019', '11042', '11069', '11089', '11130', '11130', '11199', '11228', '11266', '11289', '11319', '11360', '11393', '11431', '11481', '11517', '11545', '11591', '11638', '11687', '11732', '11809', '11850', '11888', '11944', '12010', '12053', '12115', '12174', '12231', '12286', '12328', '12363', '12409', '12456', '12497', '12545', '12581', '12614', '12641', '12641', '12712', '12771', '12805', '12805', '12874', '12917', '12942', '13007', '13024', '13060', '13083', '13121', '13148', '13198', '13232', '13232', '13282', '13295', '13316', '13340', '13363', '13390', '13406', '13423', '13429', '13447', '13470', '13470', '13510', '13510', '13510', '13555', '13569', '13569', '13569', '13569', '13569', '13569', '13569', '13664', '13671', '13682', '13693', '13693', '13693', '13727', '13729', '13744', '13752', '13758', '13758', '13758', '13777', '13781', '13791', '13805', '13813', '13813', '13813', '13826', '13828', '13836']
['Angola', '15804', '15925', '16061', '16161', '16188', '16277', '16362', '16407', '16484', '16562', '16626', '16644', '16686', '16802', '16931', '17029', '17099', '17149', '17240', '17296', '17371', '17433', '17553', '17568', '17608', '17642', '17684', '17756', '17864', '17974', '18066', '18156', '18193', '18254', '18343', '18425', '18613', '18679', '18765', '18875', '18926', '19011', '19093', '19177', '19269', '19367', '19399', '19476', '19553', '19580', '19672', '19723', '19782', '19796', '19829', '19900', '19937', '19996', '20030', '20062', '20086', '20112', '20163', '20210', '20261', '20294', '20329', '20366', '20381', '20389', '20400', '20452', '20478', '20499', '20519', '20548', '20584', '20640', '20695', '20759', '20782', '20807', '20854', '20882', '20923', '20981', '21026', '21055', '21086', '21108', '21114', '21161', '21205', '21265', '21323', '21380', '21407', '21446', '21489', '21558', '21642', '21696', '21733', '21757', '21774', '21836', '21914', '21961', '22031', '22063', '22132', '22182', '22311', '22399', '22467', '22579', '22631', '22717', '22885', '23010', '23108', '23242', '23331', '23457', '23549', '23697', '23841', '23951', '24122', '24300', '24389', '24518', '24661', '24883', '25051', '25279', '25492', '25609', '25710', '25942', '26168', '26431', '26652', '26815', '26993', '27133', '27284', '27529', '27921', '28201', '28477', '28740', '28875', '29146', '29405', '29695', '30030', '30354', '30637', '30787', '31045', '31438', '31661', '31909', '32149', '32441', '32623', '32933', '33338', '33607', '33944', '34180', '34366', '34551', '34752', '34960', '35140', '35307', '35594', '35772', '35854', '36004', '36115', '36325', '36455', '36600', '36705', '36790', '36921', '37094']
['Antigua and Barbuda', '146', '146', '147', '148', '148', '148', '148', '151', '151', '152', '152', '153', '153', '153', '154', '154', '155', '155', '155', '158', '158', '158', '159', '159', '159', '160', '160', '160', '163', '163', '167', '169', '176', '176', '176', '176', '184', '184', '187', '189', '189', '190', '190', '192', '195', '195', '198', '201', '201', '215', '215', '218', '218', '234', '234', '249', '249', '268', '277', '288', '299', '316', '316', '350', '381', '419', '427', '427', '443', '443', '525', '548', '548', '598', '598', '614', '636', '646', '701', '701', '726', '730', '769', '769', '769', '813', '813', '813', '848', '848', '862', '882', '882', '945', '962', '963', '963', '992', '992', '1008', '1011', '1033', '1033', '1072', '1080', '1080', '1103', '1122', '1122', '1128', '1136', '1136', '1136', '1147', '1152', '1170', '1170', '1173', '1173', '1177', '1180', '1182', '1197', '1198', '1198', '1201', '1201', '1209', '1213', '1216', '1216', '1217', '1217', '1217', '1217', '1222', '1227', '1227', '1228', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1232', '1231', '1237', '1238', '1240', '1240', '1240', '1241', '1241', '1251', '1251', '1252', '1255', '1255', '1257', '1257', '1258', '1258', '1258', '1258', '1259', '1259', '1259', '1260', '1260', '1262', '1262', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263', '1263']
['Argentina', '1475222', '1482216', '1489328', '1494602', '1498160', '1503222', '1510203', '1517046', '1524372', '1531374', '1537169', '1541285', '1547138', '1555279', '1563865', '1563865', '1574554', '1578267', '1583297', '1590513', '1602163', '1613928', '1625514', '1629594', '1634834', '1640718', '1648940', '1662730', '1676171', '1690006', '1703352', '1714409', '1722217', '1730921', '1744704', '1757429', '1770715', '1783047', '1791979', '1799243', '1807428', '1819569', '1831681', '1843077', '1853830', '1862192', '1867223', '1874801', '1885210', '1896053', '1905524', '1915362', '1922264', '1927239', '1933853', '1943548', '1952744', '1961635', '1970009', '1976689', '1980347', '1985501', '1993295', '2001034', '2008345', '2015496', '2021553', '2025798', '2029057', '2033060', '2039124', '2046795', '2054681', '2060625', '2064334', '2069751', '2077228', '2085411', '2093645', '2098728', '2104197', '2107365', '2112023', '2118676', '2126531', '2133963', '2141854', '2146714', '2149636', '2154694', '2162001', '2169694', '2177898', '2185747', '2192025', '2195722', '2201886', '2210121', '2218425', '2226753', '2234913', '2241739', '2245771', '2252172', '2261577', '2269877', '2278115', '2291051', '2301389', '2308597', '2322611', '2332765', '2348821', '2363251', '2373153', '2383537', '2393492', '2407159', '2428029', '2450068', '2473751', '2497881', '2517300', '2532562', '2551999', '2579000', '2604157', '2629156', '2658628', '2677747', '2694014', '2714475', '2743620', '2769552', '2796768', '2824652', '2845872', '2860884', '2879677', '2905172', '2928890', '2954943', '2977363', '2993865', '3005259', '3021179', '3047417', '3071496', '3095582', '3118134', '3136158', '3147740', '3165121', '3191097', '3215572', '3242103', '3269466', '3290935', '3307285', '3335965', '3371508', '3411160', '3447044', '3482512', '3514683', '3539484', '3562135', '3586736', '3622135', '3663215', '3702422', '3732263', '3753609', '3781784', '3817139', '3852156', '3884447', '3915397', '3939024', '3955439', '3977634', '4008771', '4038528', '4066156', '4093090', '4111147', '4124190', '4145482', '4172742', '4198620']
['Armenia', '144066', '145240', '146317', '147312', '148325', '148682', '149120', '150218', '151392', '152253', '153173', '153825', '154065', '154602', '155440', '156142', '156763', '157349', '157834', '157948', '158296', '158878', '159409', '159738', '159798', '160027', '160220', '160544', '160853', '161054', '161415', '161794', '162131', '162288', '162643', '163128', '163576', '163972', '164235', '164586', '164676', '164912', '165221', '165528', '165711', '165909', '166036', '166094', '166232', '166427', '166669', '166728', '166901', '167026', '167088', '167231', '167421', '167568', '167726', '167937', '168088', '168177', '168300', '168496', '168676', '168830', '169022', '169167', '169255', '169391', '169597', '169820', '170011', '170234', '170402', '170506', '170672', '170945', '171227', '171510', '171793', '172058', '172216', '172456', '172816', '173307', '173749', '174257', '174679', '175016', '175198', '175538', '176286', '177104', '177899', '178385', '178702', '179287', '180141', '181165', '182056', '183127', '183713', '184219', '185020', '186184', '187441', '188446', '189540', '190317', '190741', '191491', '192639', '193736', '194852', '196044', '196634', '197113', '197873', '198898', '200129', '201158', '202167', '202817', '203327', '204053', '205128', '206142', '207103', '207973', '208520', '208818', '209485', '210518', '211399', '212114', '212878', '213288', '213469', '214064', '214872', '215528', '216064', '216596', '216863', '217008', '217407', '217900', '218325', '218681', '219092', '219270', '219353', '219596', '219950', '220217', '220447', '220729', '220860', '220927', '221139', '221368', '221559', '221699', '221880', '221948', '221982', '222139', '222269', '222409', '222513', '222555', '222636', '222670', '222778', '222870', '222978', '223050', '223143', '223180', '223212', '223285', '223384', '223460', '223555', '223643', '223682', '223723', '223805', '223904']
['Australia', '117', '117', '117', '117', '117', '117', '117', '117', '117', '117', '117', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '118', '120', '120', '120', '120', '122', '122', '122', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '123', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124', '124']
['Australia', '4624', '4633', '4639', '4642', '4645', '4650', '4657', '4666', '4682', '4712', '4748', '4771', '4789', '4805', '4823', '4832', '4847', '4858', '4872', '4881', '4906', '4923', '4928', '4947', '4958', '4965', '4973', '4978', '4984', '4995', '5001', '5007', '5018', '5034', '5041', '5043', '5045', '5057', '5066', '5074', '5076', '5079', '5084', '5083', '5084', '5087', '5090', '5091', '5093', '5096', '5099', '5101', '5104', '5110', '5112', '5114', '5117', '5117', '5119', '5120', '5123', '5125', '5129', '5132', '5134', '5136', '5138', '5138', '5139', '5143', '5143', '5145', '5146', '5149', '5150', '5154', '5155', '5162', '5166', '5172', '5177', '5180', '5183', '5189', '5193', '5205', '5207', '5209', '5210', '5215', '5220', '5226', '5234', '5234', '5237', '5240', '5242', '5249', '5251', '5256', '5259', '5261', '5266', '5270', '5273', '5277', '5278', '5281', '5281', '5283', '5288', '5291', '5296', '5296', '5299', '5300', '5303', '5310', '5316', '5318', '5320', '5324', '5330', '5339', '5344', '5347', '5356', '5363', '5370', '5376', '5384', '5387', '5395', '5402', '5418', '5419', '5420', '5428', '5440', '5449', '5464', '5477', '5481', '5484', '5489', '5496', '5506', '5516', '5521', '5527', '5533', '5538', '5542', '5546', '5551', '5552', '5555', '5558', '5560', '5563', '5565', '5567', '5567', '5568', '5570', '5572', '5574', '5576', '5576', '5579', '5580', '5585', '5587', '5587', '5588', '5590', '5590', '5590', '5595', '5600', '5605', '5607', '5610', '5611', '5612', '5613', '5619', '5623', '5626', '5629']
